,,,,,
연번,설치목적,설치대수,설치장소,촬영범위,기관명 및 관리부서
1,방범용,1,경상남도 거창군 거창읍 중앙리 100-13,전방 70M,거창군 안전총괄과
2,방범용,1,경상남도 거창군 거창읍 상림리 155-203,전방 70M,거창군 안전총괄과
3,방범용,1,경상남도 거창군 거창읍 상림리 155-203,전방 70M,거창군 안전총괄과
4,방범용,1,경상남도 거창군 거창읍 상림리 155-203,전방 70M,거창군 안전총괄과
5,방범용,1,경상남도 거창군 가북면 우혜리 1882,전방 70M,거창군 안전총괄과
6,방범용,1,경상남도 거창군 가북면 우혜리 1882,전방 70M,거창군 안전총괄과
7,방범용,1,경상남도 거창군 가조면 도리 산82-7,전방 70M,거창군 안전총괄과
8,방범용,1,경상남도 거창군 가조면 마상리 336,전방 70M,거창군 안전총괄과
9,방범용,1,경상남도 거창군 가조면 마상리 336,전방 70M,거창군 안전총괄과
10,방범용,1,경상남도 거창군 거창읍 중앙리 173-4,전방 70M,거창군 안전총괄과
11,방범용,1,경상남도 거창군 거창읍 중앙리 352-14,전방 70M,거창군 안전총괄과
12,방범용,1,경상남도 거창군 거창읍 중앙리 352-14,전방 70M,거창군 안전총괄과
13,방범용,1,경상남도 거창군 거창읍 중앙리 352-14,전방 70M,거창군 안전총괄과
14,방범용,1,경상남도 거창군 거창읍 중앙리 352-14,전방 70M,거창군 안전총괄과
15,방범용,1,경상남도 거창군 거창읍 대동리 679-19,전방 70M,거창군 안전총괄과
16,방범용,1,경상남도 거창군 거창읍 대동리 679-19,전방 70M,거창군 안전총괄과
17,방범용,1,경상남도 거창군 거창읍 대동리 237-3,전방 70M,거창군 안전총괄과
18,방범용,1,경상남도 거창군 거창읍 대동리 237-3,전방 70M,거창군 안전총괄과
19,방범용,1,경상남도 거창군 거창읍 대동리 237-3,전방 70M,거창군 안전총괄과
20,방범용,1,경상남도 거창군 거창읍 대동리 237-3,전방 70M,거창군 안전총괄과
21,방범용,1,경상남도 거창군 거창읍 상림리 670-6,전방 70M,거창군 안전총괄과
22,방범용,1,경상남도 거창군 거창읍 상림리 670-6,전방 70M,거창군 안전총괄과
23,방범용,1,경상남도 거창군 거창읍 상림리 670-6,전방 70M,거창군 안전총괄과
24,방범용,1,경상남도 거창군 거창읍 중앙리 487-2,전방 70M,거창군 안전총괄과
