랭킹,타이틀,저자,출판사,가격,발행일,쪽수
1,트렌드 코리아 2022 ,"김난도(金蘭都), 전미영, 최지혜, 이향은, 이준영",미래의창,16200,211006,452
2,불편한 편의점(15만부 기념 윈터 에디션) ,김호연,나무옆의자,12600,210420,268
3,오십에 읽는 논어 ,최종엽,유노북스,14400,211103,300
3,거꾸로 읽는 세계사 ,유시민(柳時敏),돌베개,15750,211029,404
3,달러구트 꿈 백화점 ,이미예,팩토리나인,12420,200708,300
3,오은영의 화해 ,오은영,코리아닷컴,14400,190110,320
7,아직 오지 않은 날들을 위하여 ,파스칼 브뤼크네르/이세진 역,인플루엔셜,14400,211112,320
7,어떻게 말해줘야 할까 ,오은영/차상미 그림,김영사,15750,201025,400
9,투자는 디테일에 있다 ,김정환,부케이,16200,211210,424
9,"개미 5년, 세후 55억 ",성현우,모루,15300,211201,276
9,거인의 포트폴리오 ,강환국,페이지2북스,16200,211108,404
9,달러구트 꿈 백화점. 2 ,이미예,팩토리나인,12420,210727,308
9,돈의 속성(150쇄 기념 에디션) ,김승호,스노우폭스북스,15120,200615,283
14,소크라테스 익스프레스(20만 부 기념 윈터 에디션) ,에릭 와이너/김하현 역,어크로스,16200,211126,524
14,웰씽킹(Wealthinking) ,켈리 최,다산북스,14400,211110,316
